service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150831,20151108
10,1,1,1,1,1,0,0,20160425,20161031
11,1,1,1,1,1,0,0,20160425,20161031
12,1,1,1,1,1,0,0,20160425,20161031
13,1,1,1,1,1,0,0,20160425,20161031
14,1,1,1,1,1,0,0,20160425,20161031
15,1,1,1,1,1,0,0,20160425,20161031
16,1,1,1,1,1,0,0,20160425,20161031
17,1,1,1,1,0,0,1,20160425,20161031
18,0,0,0,0,1,1,0,20160425,20161031
19,0,0,0,0,1,1,0,20160425,20161031
2,0,0,0,0,0,1,1,20150831,20151108
20,0,0,0,0,0,1,1,20160425,20161031
3,1,1,1,1,1,0,0,20151109,20160327
4,0,0,0,0,0,1,1,20151109,20160115
5,1,1,1,1,1,0,0,20151216,20160424
6,0,0,0,0,0,1,1,20160116,20160327
7,1,1,1,1,1,0,0,20160328,20160424
8,0,0,0,0,0,1,1,20160328,20160424
9,1,1,1,1,1,0,0,20160425,20161031
