service_id,date,exception_type
10,20160530,2
10,20160704,2
10,20160905,2
10,20161010,2
11,20160530,2
11,20160704,2
11,20160905,2
11,20161010,2
12,20160530,2
12,20160704,2
12,20160905,2
12,20161010,2
13,20160530,2
13,20160704,2
13,20160905,2
13,20161010,2
14,20160530,2
14,20160704,2
14,20160905,2
14,20161010,2
15,20160530,2
15,20160704,2
15,20160905,2
15,20161010,2
16,20160530,2
16,20160704,2
16,20160905,2
16,20161010,2
17,20160530,2
17,20160704,2
17,20160905,2
17,20161010,2
18,20160530,2
18,20160704,2
18,20160905,2
18,20161010,2
19,20160530,2
19,20160704,2
19,20160905,2
19,20161010,2
20,20160530,2
20,20160704,2
20,20160905,2
20,20161010,2
3,20160101,2
3,20160118,2
3,20160215,2
3,20160327,2
4,20160101,2
5,20160101,2
5,20160118,2
5,20160215,2
5,20160327,2
6,20160118,2
6,20160215,2
6,20160327,2
9,20160530,2
9,20160704,2
9,20160905,2
9,20161010,2
