trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
10-12-20-1,07:00:00,07:00:00,100a,0,0,0,1
10-12-20-1,07:00:45,07:00:45,101a,1,3,3,0
10-12-20-1,07:01:30,07:01:30,140a,2,3,3,0
10-12-20-1,07:02:00,07:02:00,141a,3,3,3,0
10-12-20-1,07:03:00,07:03:00,200a,4,3,3,0
10-12-20-1,07:03:30,07:03:30,201a,5,3,3,0
10-12-20-1,07:04:00,07:04:00,212a,6,3,3,0
10-12-20-1,07:04:45,07:04:45,217a,7,3,3,0
10-12-20-1,07:06:00,07:10:00,300a,8,0,0,1
10-12-20-1,07:10:30,07:10:30,304a,9,3,3,0
10-12-20-1,07:10:45,07:10:45,305a,10,3,3,0
10-12-20-1,07:11:00,07:11:00,307a,11,3,3,0
10-12-20-1,07:11:30,07:11:30,308a,12,3,3,0
10-12-20-1,07:12:00,07:12:00,310a,13,3,3,0
10-12-20-1,07:12:15,07:12:15,311a,14,3,3,0
10-12-20-1,07:12:45,07:12:45,313a,15,3,3,0
10-12-20-1,07:13:00,07:13:00,316a,16,3,3,0
10-12-20-1,07:14:00,07:14:00,375a,17,3,3,0
10-12-20-1,07:14:30,07:14:30,378a,18,3,3,0
10-12-20-1,07:14:45,07:14:45,379a,19,3,3,0
10-12-20-1,07:15:15,07:15:15,388a,20,3,3,0
10-12-20-1,07:15:45,07:15:45,391a,21,3,3,0
10-12-20-1,07:16:15,07:16:15,315a,22,3,3,0
10-12-20-3,07:20:00,07:20:00,100a,0,0,0,1
10-12-20-3,07:20:45,07:20:45,101a,1,3,3,0
10-12-20-3,07:21:30,07:21:30,140a,2,3,3,0
10-12-20-3,07:22:00,07:22:00,141a,3,3,3,0
10-12-20-3,07:23:00,07:23:00,200a,4,3,3,0
10-12-20-3,07:23:30,07:23:30,201a,5,3,3,0
10-12-20-3,07:24:00,07:24:00,212a,6,3,3,0
10-12-20-3,07:24:45,07:24:45,217a,7,3,3,0
10-12-20-3,07:26:00,07:30:00,300a,8,0,0,1
10-12-20-3,07:30:30,07:30:30,304a,9,3,3,0
10-12-20-3,07:30:45,07:30:45,305a,10,3,3,0
10-12-20-3,07:31:00,07:31:00,307a,11,3,3,0
10-12-20-3,07:31:30,07:31:30,308a,12,3,3,0
10-12-20-3,07:32:00,07:32:00,310a,13,3,3,0
10-12-20-3,07:32:15,07:32:15,311a,14,3,3,0
10-12-20-3,07:32:45,07:32:45,313a,15,3,3,0
10-12-20-3,07:33:00,07:33:00,316a,16,3,3,0
10-12-20-3,07:34:00,07:34:00,375a,17,3,3,0
10-12-20-3,07:34:30,07:34:30,378a,18,3,3,0
10-12-20-3,07:34:45,07:34:45,379a,19,3,3,0
10-12-20-3,07:35:15,07:35:15,388a,20,3,3,0
10-12-20-3,07:35:45,07:35:45,391a,21,3,3,0
10-12-20-3,07:36:15,07:36:15,315a,22,3,3,0
10-12-20-4,07:40:00,07:40:00,100a,0,0,0,1
10-12-20-4,07:40:45,07:40:45,101a,1,3,3,0
10-12-20-4,07:41:30,07:41:30,140a,2,3,3,0
10-12-20-4,07:42:00,07:42:00,141a,3,3,3,0
10-12-20-4,07:43:00,07:43:00,200a,4,3,3,0
10-12-20-4,07:43:30,07:43:30,201a,5,3,3,0
10-12-20-4,07:44:00,07:44:00,212a,6,3,3,0
10-12-20-4,07:44:45,07:44:45,217a,7,3,3,0
10-12-21-1,07:20:00,07:20:00,315a,0,0,0,1
10-12-21-1,07:20:30,07:20:30,313b,1,3,3,0
10-12-21-1,07:21:00,07:21:00,311b,2,3,3,0
10-12-21-1,07:21:15,07:21:15,310b,3,3,3,0
10-12-21-1,07:21:30,07:21:30,309a,4,3,3,0
10-12-21-1,07:21:45,07:21:45,308b,5,3,3,0
10-12-21-1,07:22:00,07:22:00,307b,6,3,3,0
10-12-21-1,07:22:30,07:22:30,305b,7,3,3,0
10-12-21-1,07:22:45,07:22:45,304b,8,3,3,0
10-12-21-1,07:23:45,07:30:00,300b,9,0,0,1
10-12-21-1,07:31:30,07:31:30,217b,10,3,3,0
10-12-21-1,07:32:30,07:32:30,212b,11,3,3,0
10-12-21-1,07:33:30,07:33:30,201b,12,3,3,0
10-12-21-1,07:34:30,07:34:30,200b,13,3,3,0
10-12-21-1,07:35:30,07:35:30,141b,14,3,3,0
10-12-21-1,07:36:00,07:36:00,140b,15,3,3,0
10-12-21-1,07:36:30,07:36:30,101b,16,3,3,0
10-12-21-1,07:37:15,07:37:15,100b,17,3,3,0
10-12-21-2,07:00:00,07:00:00,315a,0,0,0,1
10-12-21-2,07:00:30,07:00:30,313b,1,3,3,0
10-12-21-2,07:01:00,07:01:00,311b,2,3,3,0
10-12-21-2,07:01:15,07:01:15,310b,3,3,3,0
10-12-21-2,07:01:30,07:01:30,309a,4,3,3,0
10-12-21-2,07:01:45,07:01:45,308b,5,3,3,0
10-12-21-2,07:02:00,07:02:00,307b,6,3,3,0
10-12-21-2,07:02:30,07:02:30,305b,7,3,3,0
10-12-21-2,07:02:45,07:02:45,304b,8,3,3,0
10-12-21-2,07:03:45,07:10:00,300b,9,0,0,1
10-12-21-2,07:11:30,07:11:30,217b,10,3,3,0
10-12-21-2,07:12:30,07:12:30,212b,11,3,3,0
10-12-21-2,07:13:30,07:13:30,201b,12,3,3,0
10-12-21-2,07:14:30,07:14:30,200b,13,3,3,0
10-12-21-2,07:15:30,07:15:30,141b,14,3,3,0
10-12-21-2,07:16:00,07:16:00,140b,15,3,3,0
10-12-21-2,07:16:30,07:16:30,101b,16,3,3,0
10-12-21-2,07:17:15,07:17:15,100b,17,3,3,0
10-12-21-3,07:40:00,07:40:00,315a,0,0,0,1
10-12-21-3,07:40:30,07:40:30,313b,1,3,3,0
10-12-21-3,07:41:00,07:41:00,311b,2,3,3,0
10-12-21-3,07:41:15,07:41:15,310b,3,3,3,0
10-12-21-3,07:41:30,07:41:30,309a,4,3,3,0
10-12-21-3,07:41:45,07:41:45,308b,5,3,3,0
10-12-21-3,07:42:00,07:42:00,307b,6,3,3,0
10-12-21-3,07:42:30,07:42:30,305b,7,3,3,0
10-12-21-3,07:42:45,07:42:45,304b,8,3,3,0
10-12-21-3,07:43:45,07:50:00,300b,9,0,0,1
10-12-22-1,07:40:00,07:40:00,100a,0,0,0,1
10-12-22-1,07:41:30,07:41:30,110a,1,3,3,0
10-12-22-1,07:42:00,07:42:00,112a,2,3,3,0
10-12-22-1,07:42:15,07:42:15,113a,3,3,3,0
10-12-22-2,07:20:00,07:20:00,100a,0,0,0,1
10-12-22-2,07:21:30,07:21:30,110a,1,3,3,0
10-12-22-2,07:22:00,07:22:00,112a,2,3,3,0
10-12-22-2,07:22:15,07:22:15,113a,3,3,3,0
10-12-22-2,07:27:15,07:27:15,700a,4,3,3,0
10-12-22-2,07:27:55,07:27:55,701a,5,3,3,0
10-12-22-2,07:28:25,07:28:25,704a,6,3,3,0
10-12-22-2,07:28:40,07:28:40,705a,7,3,3,0
10-12-22-2,07:28:55,07:28:55,741a,8,3,3,0
10-12-22-2,07:29:15,07:29:15,744a,9,3,3,0
10-12-22-2,07:29:25,07:29:25,745a,10,3,3,0
10-12-22-2,07:29:40,07:29:40,750a,11,3,3,0
10-12-22-2,07:30:20,07:30:20,754a,12,3,3,0
10-12-22-2,07:30:35,07:30:35,764a,13,3,3,0
10-12-22-2,07:30:55,07:30:55,765a,14,3,3,0
10-12-22-2,07:31:10,07:31:10,766a,15,3,3,0
10-12-22-2,07:33:00,07:33:00,772a,16,3,3,0
10-12-22-2,07:33:50,07:33:50,777a,17,3,3,0
10-12-22-2,07:34:10,07:34:10,778a,18,3,3,0
10-12-22-2,07:34:25,07:34:25,780b,19,3,3,0
10-12-22-2,07:34:55,07:34:55,782a,20,3,3,0
10-12-22-2,07:35:35,07:35:35,800a,21,3,3,0
10-12-22-2,07:36:05,07:36:05,801a,22,3,3,0
10-12-22-4,07:00:00,07:00:00,100a,0,0,0,1
10-12-22-4,07:01:30,07:01:30,110a,1,3,3,0
10-12-22-4,07:02:00,07:02:00,112a,2,3,3,0
10-12-22-4,07:02:15,07:02:15,113a,3,3,3,0
10-12-22-4,07:07:15,07:07:15,700a,4,3,3,0
10-12-22-4,07:07:55,07:07:55,701a,5,3,3,0
10-12-22-4,07:08:25,07:08:25,704a,6,3,3,0
10-12-22-4,07:08:40,07:08:40,705a,7,3,3,0
10-12-22-4,07:08:55,07:08:55,741a,8,3,3,0
10-12-22-4,07:09:15,07:09:15,744a,9,3,3,0
10-12-22-4,07:09:25,07:09:25,745a,10,3,3,0
10-12-22-4,07:09:40,07:09:40,750a,11,3,3,0
10-12-22-4,07:10:20,07:10:20,754a,12,3,3,0
10-12-22-4,07:10:35,07:10:35,764a,13,3,3,0
10-12-22-4,07:10:55,07:10:55,765a,14,3,3,0
10-12-22-4,07:11:10,07:11:10,766a,15,3,3,0
10-12-22-4,07:13:00,07:13:00,772a,16,3,3,0
10-12-22-4,07:13:50,07:13:50,777a,17,3,3,0
10-12-22-4,07:14:10,07:14:10,778a,18,3,3,0
10-12-22-4,07:14:25,07:14:25,780b,19,3,3,0
10-12-22-4,07:14:55,07:14:55,782a,20,3,3,0
10-12-22-4,07:15:35,07:15:35,800a,21,3,3,0
10-12-22-4,07:16:05,07:16:05,801a,22,3,3,0
10-12-23-1,07:40:00,07:40:00,801a,0,0,0,1
10-12-23-1,07:40:30,07:40:30,800b,1,3,3,0
10-12-23-1,07:41:20,07:41:20,782b,2,3,3,0
10-12-23-1,07:41:40,07:41:40,780c,3,3,3,0
10-12-23-1,07:42:00,07:42:00,778b,4,3,3,0
10-12-23-1,07:42:20,07:42:20,777b,5,3,3,0
10-12-23-1,07:43:10,07:43:10,772b,6,3,3,0
10-12-23-1,07:43:50,07:43:50,764a,7,3,3,0
10-12-23-1,07:44:25,07:44:25,765a,8,3,3,0
10-12-23-1,07:44:40,07:44:40,766a,9,3,3,0
10-12-23-2,07:00:00,07:00:00,801a,0,0,0,1
10-12-23-2,07:00:30,07:00:30,800b,1,3,3,0
10-12-23-2,07:01:20,07:01:20,782b,2,3,3,0
10-12-23-2,07:01:40,07:01:40,780c,3,3,3,0
10-12-23-2,07:02:00,07:02:00,778b,4,3,3,0
10-12-23-2,07:02:20,07:02:20,777b,5,3,3,0
10-12-23-2,07:03:10,07:03:10,772b,6,3,3,0
10-12-23-2,07:03:50,07:03:50,764a,7,3,3,0
10-12-23-2,07:04:25,07:04:25,765a,8,3,3,0
10-12-23-2,07:04:40,07:04:40,766a,9,3,3,0
10-12-23-2,07:05:30,07:05:30,754b,10,3,3,0
10-12-23-2,07:06:10,07:06:10,750b,11,3,3,0
10-12-23-2,07:06:25,07:06:25,745b,12,3,3,0
10-12-23-2,07:06:40,07:06:40,744b,13,3,3,0
10-12-23-2,07:07:00,07:07:00,741b,14,3,3,0
10-12-23-2,07:07:20,07:07:20,705b,15,3,3,0
10-12-23-2,07:07:40,07:07:40,704b,16,3,3,0
10-12-23-2,07:08:10,07:08:10,701b,17,3,3,0
10-12-23-2,07:08:40,07:08:40,700b,18,3,3,0
10-12-23-2,07:13:40,07:13:40,113b,19,3,3,0
10-12-23-2,07:13:55,07:13:55,112b,20,3,3,0
10-12-23-2,07:14:40,07:14:40,110b,21,3,3,0
10-12-23-2,07:16:10,07:16:10,100b,22,3,3,0
10-12-23-3,07:20:00,07:20:00,801a,0,0,0,1
10-12-23-3,07:20:30,07:20:30,800b,1,3,3,0
10-12-23-3,07:21:20,07:21:20,782b,2,3,3,0
10-12-23-3,07:21:40,07:21:40,780c,3,3,3,0
10-12-23-3,07:22:00,07:22:00,778b,4,3,3,0
10-12-23-3,07:22:20,07:22:20,777b,5,3,3,0
10-12-23-3,07:23:10,07:23:10,772b,6,3,3,0
10-12-23-3,07:23:50,07:23:50,764a,7,3,3,0
10-12-23-3,07:24:25,07:24:25,765a,8,3,3,0
10-12-23-3,07:24:40,07:24:40,766a,9,3,3,0
10-12-23-3,07:25:30,07:25:30,754b,10,3,3,0
10-12-23-3,07:26:10,07:26:10,750b,11,3,3,0
10-12-23-3,07:26:25,07:26:25,745b,12,3,3,0
10-12-23-3,07:26:40,07:26:40,744b,13,3,3,0
10-12-23-3,07:27:00,07:27:00,741b,14,3,3,0
10-12-23-3,07:27:20,07:27:20,705b,15,3,3,0
10-12-23-3,07:27:40,07:27:40,704b,16,3,3,0
10-12-23-3,07:28:10,07:28:10,701b,17,3,3,0
10-12-23-3,07:28:40,07:28:40,700b,18,3,3,0
10-12-23-3,07:33:40,07:33:40,113b,19,3,3,0
10-12-23-3,07:33:55,07:33:55,112b,20,3,3,0
10-12-23-3,07:34:40,07:34:40,110b,21,3,3,0
10-12-23-3,07:36:10,07:36:10,100b,22,3,3,0
10-13-20-10,14:30:00,14:30:00,100a,0,0,0,1
10-13-20-10,14:30:45,14:30:45,101a,1,3,3,0
10-13-20-10,14:31:30,14:31:30,140a,2,3,3,0
10-13-20-10,14:32:00,14:32:00,141a,3,3,3,0
10-13-20-10,14:33:00,14:33:00,200a,4,3,3,0
10-13-20-10,14:33:30,14:33:30,201a,5,3,3,0
10-13-20-10,14:34:00,14:34:00,212a,6,3,3,0
10-13-20-10,14:34:45,14:34:45,217a,7,3,3,0
10-13-20-10,14:36:00,14:40:00,300a,8,0,0,1
10-13-20-10,14:40:30,14:40:30,304a,9,3,3,0
10-13-20-10,14:40:45,14:40:45,305a,10,3,3,0
10-13-20-10,14:41:00,14:41:00,307a,11,3,3,0
10-13-20-10,14:41:30,14:41:30,308a,12,3,3,0
10-13-20-10,14:42:00,14:42:00,310a,13,3,3,0
10-13-20-10,14:42:15,14:42:15,311a,14,3,3,0
10-13-20-10,14:42:45,14:42:45,313a,15,3,3,0
10-13-20-10,14:43:00,14:43:00,316a,16,3,3,0
10-13-20-10,14:44:00,14:44:00,375a,17,3,3,0
10-13-20-10,14:44:30,14:44:30,378a,18,3,3,0
10-13-20-10,14:44:45,14:44:45,379a,19,3,3,0
10-13-20-10,14:45:15,14:45:15,388a,20,3,3,0
