route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,9,10-12-20-1,to Joint Base Headquarters,0,28,20
1,9,10-12-20-2,to Joint Base Headquarters,0,29,20
1,9,10-12-20-3,to Joint Base Headquarters,0,31,20
1,9,10-12-20-4,to Joint Base Headquarters,0,30,20
1,9,10-12-21-1,to Madigan,1,28,21
1,9,10-12-21-2,to Madigan,1,29,21
1,9,10-12-21-3,to Madigan,1,31,21
1,9,10-12-21-4,to Madigan,1,30,21
1,9,10-13-20-10,to Joint Base Headquarters,0,29,20
1,9,10-13-20-11,to Joint Base Headquarters,0,31,20
1,9,10-13-20-12,to Joint Base Headquarters,0,31,20
1,9,10-13-20-13,to Joint Base Headquarters,0,31,20
1,9,10-13-20-14,to Joint Base Headquarters,0,31,20
1,9,10-13-20-15,to Joint Base Headquarters,0,31,20
1,9,10-13-20-16,to Joint Base Headquarters,0,31,20
1,9,10-13-20-17,to Joint Base Headquarters,0,31,20
1,9,10-13-20-18,to Joint Base Headquarters,0,28,20
1,9,10-13-20-19,to Joint Base Headquarters,0,28,20
1,9,10-13-20-20,to Joint Base Headquarters,0,28,20
1,9,10-13-20-21,to Joint Base Headquarters,0,28,20
1,9,10-13-20-22,to Joint Base Headquarters,0,28,20
1,9,10-13-20-23,to Joint Base Headquarters,0,28,20
1,9,10-13-20-24,to Joint Base Headquarters,0,29,20
1,9,10-13-20-25,to Joint Base Headquarters,0,29,20
1,9,10-13-20-26,to Joint Base Headquarters,0,29,20
1,9,10-13-20-27,to Joint Base Headquarters,0,29,20
1,9,10-13-20-28,to Joint Base Headquarters,0,29,20
1,9,10-13-20-29,to Joint Base Headquarters,0,29,20
1,9,10-13-20-5,to Joint Base Headquarters,0,29,20
1,9,10-13-20-6,to Joint Base Headquarters,0,29,20
1,9,10-13-20-7,to Joint Base Headquarters,0,29,20
1,9,10-13-20-8,to Joint Base Headquarters,0,29,20
1,9,10-13-20-9,to Joint Base Headquarters,0,29,20
1,9,10-13-21-10,to Madigan,1,29,21
1,9,10-13-21-11,to Madigan,1,31,21
1,9,10-13-21-12,to Madigan,1,31,21
1,9,10-13-21-13,to Madigan,1,31,21
1,9,10-13-21-14,to Madigan,1,31,21
1,9,10-13-21-15,to Madigan,1,31,21
1,9,10-13-21-16,to Madigan,1,31,21
1,9,10-13-21-17,to Madigan,1,28,21
1,9,10-13-21-18,to Madigan,1,28,21
1,9,10-13-21-19,to Madigan,1,28,21
1,9,10-13-21-20,to Madigan,1,28,21
1,9,10-13-21-21,to Madigan,1,28,21
1,9,10-13-21-22,to Madigan,1,28,21
1,9,10-13-21-23,to Madigan,1,28,21
1,9,10-13-21-24,to Madigan,1,29,21
1,9,10-13-21-25,to Madigan,1,29,21
1,9,10-13-21-26,to Madigan,1,29,21
1,9,10-13-21-27,to Madigan,1,29,21
1,9,10-13-21-28,to Madigan,1,29,21
1,9,10-13-21-29,to Madigan,1,29,21
1,9,10-13-21-5,to Madigan,1,29,21
1,9,10-13-21-6,to Madigan,1,29,21
1,9,10-13-21-7,to Madigan,1,29,21
1,9,10-13-21-8,to Madigan,1,29,21
1,9,10-13-21-9,to Madigan,1,29,21
1,9,10-14-20-30,to Joint Base Headquarters,0,29,20
1,9,10-14-20-31,to Joint Base Headquarters,0,29,20
1,9,10-14-20-32,to Joint Base Headquarters,0,31,20
1,9,10-14-20-33,to Joint Base Headquarters,0,31,20
1,9,10-14-20-34,to Joint Base Headquarters,0,28,20
1,9,10-14-20-35,to Joint Base Headquarters,0,29,20
1,9,10-14-20-36,to Joint Base Headquarters,0,29,20
1,9,10-14-21-30,to Madigan,1,29,21
1,9,10-14-21-31,to Madigan,1,29,21
1,9,10-14-21-32,to Madigan,1,31,21
1,9,10-14-21-33,to Madigan,1,31,21
1,9,10-14-21-34,to Madigan,1,28,21
1,9,10-14-21-35,to Madigan,1,28,21
1,9,10-14-21-36,to Madigan,1,29,21
1,9,10-15-20-37,to Joint Base Headquarters,0,28,20
1,9,10-15-20-38,to Joint Base Headquarters,0,29,20
